row_1,row_2,row_3
"(632, 340)",0,162494
"(623, 337)",1,10
"(632, 341)",2,105106
"(636, 345)",3,20068
"(636, 344)",4,19223
"(628, 346)",5,2539
"(625, 345)",6,2016
"(633, 342)",7,44375
"(635, 339)",8,4187
"(631, 340)",9,97880
"(633, 340)",10,76747
"(635, 345)",11,4646
"(630, 344)",12,17824
"(633, 344)",13,8571
"(633, 343)",14,17120
"(633, 341)",15,58934
"(632, 337)",16,7389
"(635, 341)",17,30137
"(637, 342)",18,2229
"(630, 341)",19,11202
"(631, 351)",20,570
"(630, 350)",21,1317
"(637, 336)",22,11984
"(634, 338)",23,16006
"(629, 345)",24,4659
"(627, 345)",25,3891
"(652, 343)",26,13
"(632, 339)",27,118192
"(633, 348)",28,4470
"(627, 346)",29,11584
"(631, 343)",30,16894
"(631, 341)",31,28702
"(635, 342)",32,10764
"(632, 342)",33,45615
"(634, 343)",34,81468
"(634, 350)",35,3004
"(635, 346)",36,2203
"(630, 343)",37,19465
"(633, 333)",38,130
"(629, 337)",39,11115
"(629, 340)",40,59033
"(638, 334)",41,13985
"(634, 354)",42,2331
"(629, 341)",43,20086
"(636, 339)",44,7895
"(628, 344)",45,10141
"(630, 340)",46,49145
"(625, 344)",47,4804
"(628, 335)",48,91
"(628, 341)",49,9902
"(632, 344)",50,10638
"(630, 342)",51,22535
"(634, 337)",52,1908
"(626, 344)",53,15530
"(627, 342)",54,6204
"(628, 345)",55,5821
"(634, 341)",56,36882
"(632, 350)",57,1933
"(631, 339)",58,33789
"(634, 342)",59,46263
"(631, 338)",60,20035
"(637, 385)",61,8
"(636, 336)",62,9458
"(632, 357)",63,561
"(637, 343)",64,2772
"(632, 338)",65,23023
"(626, 343)",66,10535
"(633, 339)",67,23653
"(631, 347)",68,2063
"(639, 334)",69,12106
"(627, 347)",70,8269
"(626, 342)",71,3561
"(636, 343)",72,5265
"(620, 346)",73,274
"(628, 343)",74,8021
"(635, 343)",75,23376
"(633, 346)",76,7992
"(635, 344)",77,42000
"(640, 343)",78,1146
"(625, 349)",79,3598
"(632, 343)",80,18632
"(631, 344)",81,36556
"(623, 344)",82,5230
"(623, 343)",83,3907
"(622, 340)",84,757
